epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
180,1193.56,0.54664,0.33935,0.83669,0.74599,0.77233,0.77137,0.54832,0.91175,0.68537,1.00255,9.49203e-05,9.49203e-05,9.49203e-05
181,1200.14,0.53432,0.33556,0.83658,0.7842,0.75664,0.77464,0.55215,0.91484,0.68744,1.0028,9.0797e-05,9.0797e-05,9.0797e-05
182,1206.73,0.54062,0.33506,0.83657,0.79545,0.75205,0.77281,0.54628,0.91208,0.70182,1.00086,8.66736e-05,8.66736e-05,8.66736e-05
183,1213.28,0.53447,0.33598,0.8359,0.78834,0.74992,0.76943,0.54615,0.91375,0.70979,1.00348,8.25503e-05,8.25503e-05,8.25503e-05
184,1219.83,0.53939,0.33599,0.83525,0.79772,0.74034,0.76919,0.54341,0.90905,0.69702,1.00389,7.84269e-05,7.84269e-05,7.84269e-05
185,1226.39,0.53795,0.33395,0.83713,0.80135,0.73304,0.77438,0.54335,0.91519,0.7028,1.00555,7.43036e-05,7.43036e-05,7.43036e-05
186,1233.09,0.52043,0.32438,0.83264,0.76209,0.7643,0.77567,0.54932,0.91278,0.6974,1.00302,7.01802e-05,7.01802e-05,7.01802e-05
187,1239.7,0.53062,0.32916,0.83488,0.78317,0.75729,0.77426,0.544,0.91236,0.69773,1.00327,6.60569e-05,6.60569e-05,6.60569e-05
188,1246.25,0.52481,0.33167,0.83301,0.77686,0.75999,0.7764,0.55132,0.90977,0.69885,1.00274,6.19335e-05,6.19335e-05,6.19335e-05
189,1252.91,0.53168,0.33323,0.83528,0.7651,0.76519,0.78539,0.5562,0.90335,0.68706,0.997,5.78102e-05,5.78102e-05,5.78102e-05
190,1259.45,0.53425,0.32589,0.83359,0.75984,0.7775,0.7892,0.55605,0.90664,0.69301,0.99775,5.36869e-05,5.36869e-05,5.36869e-05
191,1266.75,0.53793,0.32701,0.83184,0.75071,0.76354,0.77886,0.55188,0.91155,0.68053,1.0048,4.95635e-05,4.95635e-05,4.95635e-05
192,1273.29,0.52785,0.31298,0.82908,0.77725,0.76223,0.78448,0.55212,0.91063,0.69451,1.00132,4.54402e-05,4.54402e-05,4.54402e-05
193,1279.82,0.51737,0.31212,0.82376,0.76409,0.77349,0.78185,0.54845,0.91256,0.70005,1.00543,4.13168e-05,4.13168e-05,4.13168e-05
194,1286.35,0.51751,0.30807,0.82412,0.75821,0.77594,0.7804,0.54834,0.90795,0.6897,1.00375,3.71935e-05,3.71935e-05,3.71935e-05
195,1292.91,0.50098,0.29979,0.8233,0.79317,0.73987,0.78345,0.54981,0.90768,0.69152,1.00115,3.30701e-05,3.30701e-05,3.30701e-05
196,1299.39,0.50114,0.30251,0.82458,0.76897,0.76817,0.78634,0.55557,0.90753,0.69661,1.0012,2.89468e-05,2.89468e-05,2.89468e-05
197,1305.98,0.50298,0.30034,0.82288,0.77969,0.76447,0.78209,0.55262,0.9086,0.69708,1.0013,2.48234e-05,2.48234e-05,2.48234e-05
198,1312.5,0.49266,0.29808,0.82323,0.78413,0.76113,0.78222,0.55303,0.90989,0.69461,1.00251,2.07001e-05,2.07001e-05,2.07001e-05
199,1319.23,0.50008,0.29627,0.82461,0.78247,0.75565,0.77946,0.55195,0.90989,0.7005,1.00317,1.65767e-05,1.65767e-05,1.65767e-05
200,1325.73,0.50393,0.29942,0.82238,0.78334,0.75987,0.78044,0.55153,0.90959,0.70367,1.00301,1.24534e-05,1.24534e-05,1.24534e-05
